,Scientific.Name,seqs,Species.Group,CRPR,Literature.Count,area
1,Abies amabilis,86,Conifers and relatives - Conifers,2B.3,8390,40717.44168
2,Abies bracteata,84,Conifers and relatives - Conifers,1B.3,477,4552.260561
3,Abies concolor,148,Conifers and relatives - Conifers,native,14935,196000.1075
4,Abies grandis,177,Conifers and relatives - Conifers,native,14700,439546.0475
5,Abies lasiocarpa var. lasiocarpa,1,Conifers and relatives - Conifers,2B.3,467,8598.714393
6,Abies magnifica,87,Conifers and relatives - Conifers,native,3770,24278.72299
7,Abies procera,67,Conifers and relatives - Conifers,native,3410,158064.6028
8,Abronia alpina,1,Flowering Plants - Dicots,1B.1,49,252.9033645
9,Abronia latifolia,3,Flowering Plants - Dicots,native,370,32371.63066
10,Abronia maritima,0,Flowering Plants - Dicots,4.2,384,45775.50897
11,Abronia nana var. covillei,1,Flowering Plants - Dicots,4.2,28,3034.840374
12,Abronia pogonantha,1,Flowering Plants - Dicots,native,35,15427.10523
13,Abronia turbinata,1,Flowering Plants - Dicots,native,56,11633.55477
14,Abronia umbellata,759,Flowering Plants - Dicots,native,496,26049.04654
15,Abronia umbellata var. breviflora,1,Flowering Plants - Dicots,1B.1,242,1517.420187
16,Abronia villosa,2,Flowering Plants - Dicots,native,273,58420.6772
17,Abronia villosa var. aurita,0,Flowering Plants - Dicots,1B.1,26,7587.100935
18,Abronia villosa var. villosa,1,Flowering Plants - Dicots,native,14,16185.81533
19,Abutilon palmeri,3,Flowering Plants - Dicots,native,86,32624.53402
20,Abutilon parvulum,1,Flowering Plants - Dicots,2B.3,66,16438.71869
21,Abutilon theophrasti,150,Flowering Plants - Dicots,weed,18900,235200.1292
22,Acacia baileyana,122,Flowering Plants - Dicots,weed,1050,66152.2944
23,Acacia dealbata,317,Flowering Plants - Dicots,weed,7925,662859.7184
24,Acacia decurrens,108,Flowering Plants - Dicots,weed,3510,9899.360275
25,Acacia longifolia,119,Flowering Plants - Dicots,weed,4400,75943.26751
26,Acacia mearnsii,177,Flowering Plants - Dicots,weed,15200,90431.01741
27,Acacia melanoxylon,133,Flowering Plants - Dicots,weed,8560,499484.1449
28,Acacia podalyriifolia,35,Flowering Plants - Dicots,weed,518,26446.46614
29,Acacia redolens,18,Flowering Plants - Dicots,weed,84,4913.551086
30,Acacia retinodes,34,Flowering Plants - Dicots,weed,802,39163.89248
31,Acacia saligna,260,Flowering Plants - Dicots,weed,7020,98379.40887
32,Acacia verticillata,69,Flowering Plants - Dicots,weed,530,62683.90539
33,Acaena novae-zelandiae,19,Flowering Plants - Dicots,weed,797,101631.0236
34,Acaena pallida,6,Flowering Plants - Dicots,weed,34,4046.453835
35,Acaena pinnatifida var. californica,2,Flowering Plants - Dicots,native,12,6069.680748
36,Acalypha californica,17,Flowering Plants - Dicots,native,136,56144.54692
37,Acamptopappus shockleyi,8,Flowering Plants - Dicots,native,151,12392.26486
38,Acamptopappus sphaerocephalus,6,Flowering Plants - Dicots,native,244,26301.94991
39,Acamptopappus sphaerocephalus var. hirtellus,1,Flowering Plants - Dicots,native,8,7081.294206
40,Acamptopappus sphaerocephalus var. sphaerocephalus,1,Flowering Plants - Dicots,native,1,9863.231216
41,Acanthomintha duttonii,5,Flowering Plants - Dicots,1B.1,51,252.9033645
42,Acanthomintha ilicifolia,6,Flowering Plants - Dicots,1B.1,120,6828.390842
43,Acanthomintha lanceolata,12,Flowering Plants - Dicots,4.2,28,4805.163926
44,Acanthomintha obovata,6,Flowering Plants - Dicots,native,35,2023.226916
45,Acer campestre,432,Flowering Plants - Dicots,weed,21200,156041.376
46,Acer circinatum,27,Flowering Plants - Dicots,native,3120,114818.1275
47,Acer glabrum,47,Flowering Plants - Dicots,native,2780,153006.5355
48,Acer glabrum var. diffusum,1,Flowering Plants - Dicots,native,15,8092.907664
49,Acer glabrum var. glabrum,2,Flowering Plants - Dicots,native,86,12139.3615
50,Acer macrophyllum,42,Flowering Plants - Dicots,native,6110,199287.8512
51,Acer negundo,140,Flowering Plants - Dicots,native,26673,2597570.457
52,Acer saccharinum,329,Flowering Plants - Dicots,weed,13300,186317.5217
53,Achillea millefolium,967,Flowering Plants - Dicots,native,46449,6939162.515
54,Achlys californica,1,Flowering Plants - Dicots,native,18,14162.58841
55,Achyrachaena mollis,6,Flowering Plants - Dicots,native,192,53109.70655
56,Achyronychia cooperi,6,Flowering Plants - Dicots,native,73,47545.83253
57,Acleisanthes longiflora,11,Flowering Plants - Dicots,2B.3,108,31360.0172
58,Acourtia microcephala,13,Flowering Plants - Dicots,native,86,36923.89122
59,Actaea rubra,63,Flowering Plants - Dicots,native,1670,663112.6217
60,Adenocaulon bicolor,21,Flowering Plants - Dicots,native,1010,128727.8125
61,Adenophyllum cooperi,5,Flowering Plants - Dicots,native,39,15427.10523
62,Adenophyllum porophylloides,1,Flowering Plants - Dicots,native,99,41981.95851
63,Adenostoma fasciculatum,10,Flowering Plants - Dicots,native,3550,91298.11458
64,Adenostoma fasciculatum var. fasciculatum,1,Flowering Plants - Dicots,native,72,29589.69365
65,Adenostoma fasciculatum var. obtusifolium,1,Flowering Plants - Dicots,native,23,5058.06729
66,Adenostoma sparsifolium,0,Flowering Plants - Dicots,native,383,19979.3658
67,Adiantum aleuticum,81,Ferns and relatives - Leptosporangiate Ferns,native,400,158570.4095
68,Adiantum capillus-veneris,30750,Ferns and relatives - Leptosporangiate Ferns,native,9610,850008.2081
69,Adiantum jordanii,10,Ferns and relatives - Leptosporangiate Ferns,native,147,57914.87047
70,Adiantum shastense,6,Ferns and relatives - Leptosporangiate Ferns,4.3,21,1264.516823
71,Adolphia californica,2,Flowering Plants - Dicots,2B.1,163,13656.78168
72,Adonis aestivalis,4238,Flowering Plants - Dicots,weed,3580,103329.089
73,Aegilops cylindrica,406,Flowering Plants - Monocots,weed,4490,71752.29747
74,Aegilops geniculata,570,Flowering Plants - Monocots,weed,4230,87323.91893
75,Aegilops triuncialis,721,Flowering Plants - Monocots,weed,3110,171974.2879
76,Aeonium arboreum var. arboreum,0,Flowering Plants - Dicots,weed,11,325.1614689
77,Aeonium haworthii,7,Flowering Plants - Dicots,weed,164,10477.42511
78,Aeschynomene rudis,23,Flowering Plants - Dicots,weed,322,10838.71563
79,Aesculus californica,47,Flowering Plants - Dicots,native,1580,83711.01365
80,Agastache parvifolia,1,Flowering Plants - Dicots,native,8,3793.550468
81,Agastache urticifolia,9,Flowering Plants - Dicots,native,452,82699.40019
82,Agave deserti,120994,Flowering Plants - Monocots,native,2430,16944.52542
83,Agave shawii var. shawii,104,Flowering Plants - Monocots,2B.1,44,7587.100935
84,Agave utahensis,12,Flowering Plants - Monocots,native,462,11633.55477
85,Agave utahensis var. eborispina,1,Flowering Plants - Monocots,1B.3,24,1517.420187
86,Agave utahensis var. nevadensis,1,Flowering Plants - Monocots,4.2,41,2781.93701
87,Ageratina adenophora,120,Flowering Plants - Dicots,weed,12270,148707.1783
88,Ageratina herbacea,3,Flowering Plants - Dicots,2B.3,116,29083.88692
89,Ageratina occidentalis,3,Flowering Plants - Dicots,native,90,41476.15178
90,Ageratina shastensis,1,Flowering Plants - Dicots,1B.2,16,1264.516823
91,Agoseris apargioides,1,Flowering Plants - Dicots,native,45,6069.680748
92,Agoseris apargioides var. apargioides,1,Flowering Plants - Dicots,native,4,1011.613458
93,Agoseris apargioides var. eastwoodiae,1,Flowering Plants - Dicots,native,5,2023.226916
94,Agoseris apargioides var. maritima,1,Flowering Plants - Dicots,native,15,252.9033645
95,Agoseris aurantiaca var. aurantiaca,1,Flowering Plants - Dicots,native,1171,14921.29851
96,Agoseris glauca var. glauca,1,Flowering Plants - Dicots,native,25,45269.70225
97,Agoseris grandiflora,9,Flowering Plants - Dicots,native,241,45269.70225
98,Agoseris grandiflora var. grandiflora,1,Flowering Plants - Dicots,native,8,17703.23552
99,Agoseris grandiflora var. leptophylla,1,Flowering Plants - Dicots,native,317,16438.71869
100,Agoseris heterophylla,9,Flowering Plants - Dicots,native,323,46534.21907
101,Agoseris heterophylla var. heterophylla,1,Flowering Plants - Dicots,native,10,1011.613458
102,Agoseris retrorsa,8,Flowering Plants - Dicots,native,89,42487.76524
103,Agrimonia gryposepala,20,Flowering Plants - Dicots,native,598,122405.2284
104,Agrimonia striata,21,Flowering Plants - Dicots,native,385,66766.48823
