accepted,Scientific Name,Accepted Name,Jepson Common Name,Status,Jepson Link,CNPS Common Name,Family,Lifeform,CRPR,SRank,CESA,NatureServe Common Name,Species Group,NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,Distribution,View on NatureServe Explorer,searchName,genbank,seqs
1,Abies amabilis,Abies amabilis,Pacific Silver Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11520,Pacific silver fir,Pinaceae,perennial evergreen tree,2B.3,S2,None,Pacific Silver Fir,Conifers and relatives - Conifers,G5,G5,NA,"Canada: BC
United States: AK, CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143719/Abies_amabilis,Abies amabilis,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Abies+amabilis%22%5BOrganism%5D+OR+%22Abies+amabilis%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,86
1,Abies bracteata,Abies bracteata,Bristlecone Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11522,bristlecone fir,Pinaceae,perennial evergreen tree,1B.3,S2S3,None,Bristlecone Fir,Conifers and relatives - Conifers,G2G3,G2,NA,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138821/Abies_bracteata,Abies bracteata,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Abies+bracteata%22%5BOrganism%5D+OR+%22Abies+bracteata%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,84
1,Abies concolor,Abies concolor,White Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11524,NA,NA,NA,NA,NA,NA,White Fir,Conifers and relatives - Conifers,G5,G5,NA,"United States: AZ, CA, CO, ID, MA, ME, NM, NN, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137897/Abies_concolor,Abies concolor,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Abies+concolor%22%5BOrganism%5D+OR+%22Abies+concolor%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,160
1,Abies grandis,Abies grandis,Grand Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11526,NA,NA,NA,NA,NA,NA,Grand Fir,Conifers and relatives - Conifers,G5,G5,NA,"Canada: BC
United States: CA, ID, MT, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146468/Abies_grandis,Abies grandis,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Abies+grandis%22%5BOrganism%5D+OR+%22Abies+grandis%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,201
1,Abies lasiocarpa var. lasiocarpa,Abies lasiocarpa var. lasiocarpa,Subalpine Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53444,subalpine fir,Pinaceae,perennial evergreen tree,2B.3,S3,None,Subalpine Fir,Conifers and relatives - Conifers,G5T5,T5,NA,"Canada: AB, BC, YT
United States: AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134599/Abies_lasiocarpa_var_lasiocarpa,Abies lasiocarpa * lasiocarpa,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Abies+lasiocarpa+var.+lasiocarpa%22%5BOrganism%5D+OR+%22Abies+lasiocarpa+var.+lasiocarpa%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,0
1,Abies magnifica,Abies magnifica,California Red Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11529,NA,NA,NA,NA,NA,NA,California Red Fir,Conifers and relatives - Conifers,G5,G5,NA,"United States: CA, NV, NY, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.142119/Abies_magnifica,Abies magnifica,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Abies+magnifica%22%5BOrganism%5D+OR+%22Abies+magnifica%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,91
1,Abies procera,Abies procera,Noble Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11531,NA,NA,NA,NA,NA,NA,Noble Fir,Conifers and relatives - Conifers,G5,G5,NA,"United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159773/Abies_procera,Abies procera,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Abies+procera%22%5BOrganism%5D+OR+%22Abies+procera%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,71
1,Abronia alpina,Abronia alpina,Ramshaw Meadows Abronia,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11537,Ramshaw Meadows abronia,Nyctaginaceae,perennial herb,1B.1,S2,None,Ramshaw Meadows Sand-verbena,Flowering Plants - Dicots,G2,G2,NA,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134469/Abronia_alpina,Abronia alpina,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Abronia+alpina%22%5BOrganism%5D+OR+%22Abronia+alpina%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,0
1,Abronia latifolia,Abronia latifolia,NA,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11552,NA,NA,NA,NA,NA,NA,Yellow Sand-verbena,Flowering Plants - Dicots,G5,G5,NA,"Canada: BC
United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152709/Abronia_latifolia,Abronia latifolia,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Abronia+latifolia%22%5BOrganism%5D+OR+%22Abronia+latifolia%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,3
1,Abronia maritima,Abronia maritima,Red Sand-Verbena,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11554,red sand-verbena,Nyctaginaceae,perennial herb,4.2,S3?,None,Red Sand-verbena,Flowering Plants - Dicots,G4,G4,NA,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159718/Abronia_maritima,Abronia maritima,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Abronia+maritima%22%5BOrganism%5D+OR+%22Abronia+maritima%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,1
1,Abronia nana var. covillei,Abronia nana var. covillei,Coville'S Dwarf Abronia,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53450,Coville's dwarf abronia,Nyctaginaceae,perennial herb,4.2,S3,None,Dwarf Sand-verbena,Flowering Plants - Dicots,G4T3,T3,NA,"United States: CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.131002/Abronia_nana_var_covillei,Abronia nana * covillei,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Abronia+nana+var.+covillei%22%5BOrganism%5D+OR+%22Abronia+nana+var.+covillei%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,0
1,Abronia pogonantha,Abronia pogonantha,NA,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11560,NA,NA,NA,NA,NA,NA,Mojave Sand-verbena,Flowering Plants - Dicots,G3G4,G3,NA,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.133175/Abronia_pogonantha,Abronia pogonantha,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Abronia+pogonantha%22%5BOrganism%5D+OR+%22Abronia+pogonantha%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,0
1,Abronia turbinata,Abronia turbinata,NA,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11561,NA,NA,NA,NA,NA,NA,Transmontane Sand-verbena,Flowering Plants - Dicots,G5,G5,NA,"United States: CA, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.148355/Abronia_turbinata,Abronia turbinata,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Abronia+turbinata%22%5BOrganism%5D+OR+%22Abronia+turbinata%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,0
1,Abronia umbellata,Abronia umbellata,NA,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11564,NA,NA,NA,NA,NA,NA,Beach Sand-verbena,Flowering Plants - Dicots,G4G5,G4,NA,"Canada: BC
United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143788/Abronia_umbellata,Abronia umbellata,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Abronia+umbellata%22%5BOrganism%5D+OR+%22Abronia+umbellata%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,759
1,Abronia umbellata var. breviflora,Abronia umbellata var. breviflora,Pink Sand-Verbena,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=81822,pink sand-verbena,Nyctaginaceae,perennial herb,1B.1,S2,None,Pink Sand-verbena,Flowering Plants - Dicots,G4G5T2,T2,NA,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.806972/Abronia_umbellata_var_breviflora,Abronia umbellata * breviflora,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Abronia+umbellata+var.+breviflora%22%5BOrganism%5D+OR+%22Abronia+umbellata+var.+breviflora%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,0
1,Abronia villosa,Abronia villosa,NA,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11568,NA,NA,NA,NA,NA,NA,Sticky Sand-verbena,Flowering Plants - Dicots,G5,G5,NA,"United States: AZ, CA, NN, NV, UT",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136324/Abronia_villosa,Abronia villosa,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Abronia+villosa%22%5BOrganism%5D+OR+%22Abronia+villosa%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,2
1,Abronia villosa var. aurita,Abronia villosa var. aurita,Chaparral Sand-Verbena,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53455,chaparral sand-verbena,Nyctaginaceae,annual herb,1B.1,S2,None,Desert Sand-verbena,Flowering Plants - Dicots,G5T2T3,T2,NA,"United States: AZ, CA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143391/Abronia_villosa_var_aurita,Abronia villosa * aurita,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Abronia+villosa+var.+aurita%22%5BOrganism%5D+OR+%22Abronia+villosa+var.+aurita%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,1
1,Abronia villosa var. villosa,Abronia villosa var. villosa,NA,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53456,NA,NA,NA,NA,NA,NA,Desert Sand-verbena,Flowering Plants - Dicots,G5T3T5,T4,NA,"United States: AZ, CA, NV, UT",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138425/Abronia_villosa_var_villosa,Abronia villosa * villosa,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Abronia+villosa+var.+villosa%22%5BOrganism%5D+OR+%22Abronia+villosa+var.+villosa%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,0
