,taxonKey,area,Scientific.Name,Literature.Count,Status,Jepson.Link,CRPR,SRank,CESA,Species.Group,NatureServe.Rounded.Global.Rank,U.S..Endangered.Species.Act.Status,Distribution,View.on.NatureServe.Explorer,Rating,rarity,native,GenCategory,score
0,2650102,22255.496076,Pilularia americana,332.0,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=38232,,,,Ferns and relatives - Leptosporangiate Ferns,G5,,"United States: AL, AR, CA, GA, KS, MO, NE, OK, OR, SC, TN, TX, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129599/Pilularia_americana,None,0.0,1.0,Neutral,0.014917663433169838
1,2650107,454973.1527355,Azolla filiculoides,9600.0,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=15380,,,,Ferns and relatives - Leptosporangiate Ferns,G5,,"Canada: BC
United States: AK, AZ, CA, GA, HI, MT, NV, OK, OR, TX, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152880/Azolla_filiculoides,None,0.0,1.0,Neutral,0.021100146112535544
2,2650138,19473.5590665,Ophioglossum pusillum,5904.0,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=35166,2B.2,S1,None,"Ferns and relatives - Adder's-tongues, Grapeferns, and Moonworts",G5,,"Canada: BC, MB, NB, NS, ON, PE, QC
United States: AK, CA, CT, DC, DE, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NY, OH, OR, PA, RI, SD, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129327/Ophioglossum_pusillum,None,1.0,1.0,Rare,0.3031803267106186
3,2650150,5310.9706545,Ophioglossum californicum,193.0,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=35155,4.2,S4,None,"Ferns and relatives - Adder's-tongues, Grapeferns, and Moonworts",G4,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147384/Ophioglossum_californicum,None,1.0,1.0,Rare,0.03633987317110679
4,2650158,4299.3571965,Botrychium ascendens,167.0,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=15910,2B.3,S2,None,"Ferns and relatives - Adder's-tongues, Grapeferns, and Moonworts",G3,,"Canada: AB, BC, NF, ON, QC, SK
United States: AK, CA, CO, ID, MN, MT, NV, OR, VT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.133668/Botrychium_ascendens,None,1.0,1.0,Rare,0.03884301591315803
5,2650161,4552.260561,Botrychium crenulatum,140.0,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=15913,2B.2,S3,None,"Ferns and relatives - Adder's-tongues, Grapeferns, and Moonworts",G4,,"Canada: AB, BC, NF, ON
United States: AZ, CA, CO, ID, MN, MT, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154829/Botrychium_crenulatum,None,1.0,1.0,Rare,0.030753951388328715
6,2650164,2529.033645,Botrychium lineare,122.0,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=15924,1B.1,S1,None,"Ferns and relatives - Adder's-tongues, Grapeferns, and Moonworts",G3,,"Canada: AB, BC, NB, QC, YT
United States: AK, CA, CO, ID, MN, MT, OR, SD, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.155424/Botrychium_lineare,None,1.0,1.0,Rare,0.04823976946340704
7,2650165,1762230.643836,Botrychium lunaria,5599.0,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=15925,2B.3,S2,None,"Ferns and relatives - Adder's-tongues, Grapeferns, and Moonworts",G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, QC, SK, YT
United States: AK, AZ, CA, ID, MA, ME, MI, MN, MT, ND, NM, NV, NY, OR, PA, SD, UT, VT, WA, WI, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147162/Botrychium_lunaria,None,1.0,1.0,Rare,0.0031772231515689526
8,3659126,505.806729,Botrychium lunaria,5599.0,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=15925,2B.3,S2,None,"Ferns and relatives - Adder's-tongues, Grapeferns, and Moonworts",G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, QC, SK, YT
United States: AK, AZ, CA, ID, MA, ME, MI, MN, MT, ND, NM, NV, NY, OR, PA, SD, UT, VT, WA, WI, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147162/Botrychium_lunaria,None,1.0,1.0,Rare,11.06944546006623
9,2650168,758.7100935000001,Botrychium paradoxum,101.0,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=15939,2B.1,S1,None,"Ferns and relatives - Adder's-tongues, Grapeferns, and Moonworts",G3,,"Canada: AB, BC, SK
United States: CA, CO, ID, MT, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.158636/Botrychium_paradoxum,None,1.0,1.0,Rare,0.13312067529519428
