,Scientific Name,Accepted Name,Jepson Common Name,Status,Jepson Link,CNPS Common Name,Family,Lifeform,CRPR,SRank,CESA,NatureServe Common Name,Species Group,NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,Distribution,View on NatureServe Explorer,searchName
0,Abies amabilis,Abies amabilis,Pacific Silver Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11520,Pacific silver fir,Pinaceae,perennial evergreen tree,2B.3,S2,None,Pacific Silver Fir,Conifers and relatives - Conifers,G5,G5,,"Canada: BC
United States: AK, CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143719/Abies_amabilis,Abies amabilis
1,Abies bracteata,Abies bracteata,Bristlecone Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11522,bristlecone fir,Pinaceae,perennial evergreen tree,1B.3,S2S3,None,Bristlecone Fir,Conifers and relatives - Conifers,G2G3,G2,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138821/Abies_bracteata,Abies bracteata
2,Abies venusta,Abies bracteata,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11522,,,,,,,Bristlecone Fir,Conifers and relatives - Conifers,G2G3,G2,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138821/Abies_bracteata,Abies venusta
3,Abies concolor var. concolor,Abies concolor,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11524,,,,,,,White Fir,Conifers and relatives - Conifers,G5,G5,,"United States: AZ, CA, CO, ID, MA, ME, NM, NN, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137897/Abies_concolor,Abies concolor * concolor
4,Abies concolor var. lowiana,Abies concolor,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11524,,,,,,,White Fir,Conifers and relatives - Conifers,G5,G5,,"United States: AZ, CA, CO, ID, MA, ME, NM, NN, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137897/Abies_concolor,Abies concolor * lowiana
5,Abies concolor,Abies concolor,White Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11524,,,,,,,White Fir,Conifers and relatives - Conifers,G5,G5,,"United States: AZ, CA, CO, ID, MA, ME, NM, NN, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137897/Abies_concolor,Abies concolor
6,Abies lowiana,Abies concolor,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11524,,,,,,,White Fir,Conifers and relatives - Conifers,G5,G5,,"United States: AZ, CA, CO, ID, MA, ME, NM, NN, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137897/Abies_concolor,Abies lowiana
7,Abies grandis,Abies grandis,Grand Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11526,,,,,,,Grand Fir,Conifers and relatives - Conifers,G5,G5,,"Canada: BC
United States: CA, ID, MT, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146468/Abies_grandis,Abies grandis
8,Abies bifolia,Abies lasiocarpa var. lasiocarpa,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53444,,,,,,,Subalpine Fir,Conifers and relatives - Conifers,G5T5,T5,,"Canada: AB, BC, YT
United States: AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134599/Abies_lasiocarpa_var_lasiocarpa,Abies bifolia
9,Abies lasiocarpa var. lasiocarpa,Abies lasiocarpa var. lasiocarpa,Subalpine Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53444,subalpine fir,Pinaceae,perennial evergreen tree,2B.3,S3,None,Subalpine Fir,Conifers and relatives - Conifers,G5T5,T5,,"Canada: AB, BC, YT
United States: AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134599/Abies_lasiocarpa_var_lasiocarpa,Abies lasiocarpa * lasiocarpa
10,Abies magnifica,Abies magnifica,California Red Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11529,,,,,,,California Red Fir,Conifers and relatives - Conifers,G5,G5,,"United States: CA, NV, NY, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.142119/Abies_magnifica,Abies magnifica
15,Abies procera,Abies procera,Noble Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11531,,,,,,,Noble Fir,Conifers and relatives - Conifers,G5,G5,,"United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159773/Abies_procera,Abies procera
17,Abronia alpina,Abronia alpina,Ramshaw Meadows Abronia,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11537,Ramshaw Meadows abronia,Nyctaginaceae,perennial herb,1B.1,S2,None,Ramshaw Meadows Sand-verbena,Flowering Plants - Dicots,G2,G2,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134469/Abronia_alpina,Abronia alpina
18,Abronia latifolia,Abronia latifolia,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11552,,,,,,,Yellow Sand-verbena,Flowering Plants - Dicots,G5,G5,,"Canada: BC
United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152709/Abronia_latifolia,Abronia latifolia
19,Abronia maritima,Abronia maritima,Red Sand-Verbena,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11554,red sand-verbena,Nyctaginaceae,perennial herb,4.2,S3?,None,Red Sand-verbena,Flowering Plants - Dicots,G4,G4,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159718/Abronia_maritima,Abronia maritima
20,Abronia nana var. nana,Abronia nana var. covillei,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53450,,,,,,,Dwarf Sand-verbena,Flowering Plants - Dicots,G4T3,T3,,"United States: CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.131002/Abronia_nana_var_covillei,Abronia nana * nana
21,Abronia nana var. covillei,Abronia nana var. covillei,Coville'S Dwarf Abronia,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53450,Coville's dwarf abronia,Nyctaginaceae,perennial herb,4.2,S3,None,Dwarf Sand-verbena,Flowering Plants - Dicots,G4T3,T3,,"United States: CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.131002/Abronia_nana_var_covillei,Abronia nana * covillei
22,Abronia nana subsp. covillei,Abronia nana var. covillei,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53450,,,,,,,Dwarf Sand-verbena,Flowering Plants - Dicots,G4T3,T3,,"United States: CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.131002/Abronia_nana_var_covillei,Abronia nana * covillei
23,Abronia pogonantha,Abronia pogonantha,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11560,,,,,,,Mojave Sand-verbena,Flowering Plants - Dicots,G3G4,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.133175/Abronia_pogonantha,Abronia pogonantha
24,Abronia turbinata,Abronia turbinata,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11561,,,,,,,Transmontane Sand-verbena,Flowering Plants - Dicots,G5,G5,,"United States: CA, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.148355/Abronia_turbinata,Abronia turbinata
